timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723883951795,214,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-126,text,true,,3301,189,204,204,http://localhost:8080/expectations,213,0,211
1723883952010,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-126,text,true,,1837,128,204,204,http://localhost:8080/event/order,2,0,0
1723883951799,211,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-16,text,true,,3301,189,204,204,http://localhost:8080/expectations,211,0,210
1723883951795,213,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-202,text,true,,3301,189,204,204,http://localhost:8080/expectations,212,0,210
1723883951765,245,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-125,text,true,,3301,189,204,204,http://localhost:8080/expectations,245,0,245
1723883951766,271,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-127,text,true,,3301,189,205,205,http://localhost:8080/expectations,271,0,239
1723883951795,243,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-49,text,true,,3301,189,205,205,http://localhost:8080/expectations,243,0,209
1723883951795,216,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-144,text,true,,3301,189,204,204,http://localhost:8080/expectations,216,0,215
1723883951763,249,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-100,text,true,,3301,189,204,204,http://localhost:8080/expectations,249,0,248
1723883951764,275,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-180,text,true,,3301,189,205,205,http://localhost:8080/expectations,275,0,248
1723883951795,242,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-112,text,true,,3301,189,205,205,http://localhost:8080/expectations,242,0,212
1723883951797,243,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-207,text,true,,3301,189,205,205,http://localhost:8080/expectations,242,0,207
1723883951802,235,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-26,text,true,,3301,189,205,205,http://localhost:8080/expectations,235,0,206
1723883952038,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-49,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952038,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-144,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952039,1,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-100,text,true,,1837,128,205,205,http://localhost:8080/event/order,1,0,0
1723883952038,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-202,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952039,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-180,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952038,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-127,text,true,,1837,128,205,205,http://localhost:8080/event/order,3,0,0
1723883952039,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-112,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952038,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-125,text,true,,1837,128,205,205,http://localhost:8080/event/order,3,0,0
1723883952009,28,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-271,text,true,,3301,189,205,205,http://localhost:8080/expectations,28,0,27
1723883952040,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-207,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883951764,278,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-151,text,true,,3301,189,205,205,http://localhost:8080/expectations,278,0,270
1723883951798,239,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-214,text,true,,3301,189,205,205,http://localhost:8080/expectations,239,0,207
1723883952040,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-26,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952042,0,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-271,text,true,,1837,128,205,205,http://localhost:8080/event/order,0,0,0
1723883951796,240,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-145,text,true,,3301,189,205,205,http://localhost:8080/expectations,240,0,210
1723883951819,225,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-59,text,true,,3301,189,205,205,http://localhost:8080/expectations,225,0,2
1723883951821,223,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-31,text,true,,3301,189,205,205,http://localhost:8080/expectations,223,0,2
1723883951769,262,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-92,text,true,,3301,189,205,205,http://localhost:8080/expectations,262,0,220
1723883952043,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-214,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952042,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-151,text,true,,1837,128,205,205,http://localhost:8080/event/order,3,0,0
1723883951820,225,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-149,text,true,,3301,189,205,205,http://localhost:8080/expectations,225,0,3
1723883951797,213,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-99,text,true,,3301,189,205,205,http://localhost:8080/expectations,213,0,212
1723883952044,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-145,text,true,,1837,128,205,205,http://localhost:8080/event/order,3,0,0
1723883952045,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-16,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883951903,131,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-250,text,true,,3301,189,205,205,http://localhost:8080/expectations,131,0,106
1723883952045,2,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-59,text,true,,1837,128,205,205,http://localhost:8080/event/order,2,0,0
1723883952045,5,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-92,text,true,,1837,128,205,205,http://localhost:8080/event/order,5,0,0
1723883952045,5,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-149,text,true,,1837,128,205,205,http://localhost:8080/event/order,5,0,0
1723883951762,271,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-234,text,true,,3301,189,205,205,http://localhost:8080/expectations,271,0,250
1723883952046,7,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-99,text,true,,1837,128,205,205,http://localhost:8080/event/order,3,0,0
1723883951823,230,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-160,text,true,,3301,189,205,205,http://localhost:8080/expectations,226,0,2
1723883951805,228,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-1,text,true,,3301,189,205,205,http://localhost:8080/expectations,228,0,205
1723883952029,3,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-273,text,true,,3301,189,205,205,http://localhost:8080/expectations,3,0,0
1723883952048,8,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-250,text,true,,1837,128,206,206,http://localhost:8080/event/order,8,0,0
1723883952053,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-160,text,true,,1837,128,206,206,http://localhost:8080/event/order,3,0,0
1723883952053,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-1,text,true,,1837,128,206,206,http://localhost:8080/event/order,3,0,0
1723883951763,269,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-141,text,true,,3301,189,205,205,http://localhost:8080/expectations,269,0,248
1723883951797,235,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-67,text,true,,3301,189,205,205,http://localhost:8080/expectations,235,0,233
1723883952050,8,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-234,text,true,,1837,128,206,206,http://localhost:8080/event/order,8,0,0
1723883952056,3,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-273,text,true,,1837,128,206,206,http://localhost:8080/event/order,3,0,0
1723883952047,13,선착순 이벤트들 조회 (처음 진입),200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-31,text,true,,1837,128,206,206,http://localhost:8080/event/order,13,0,0
1723883951801,231,메인 페이지  기대평 가져오기,200,,(이벤트 시작 전) 메인 페이지 -> 선착순 퀴즈 페이지 진입 시나리오 A 1-81,text,true,,3301,189,205,205,http://localhost:8080/expectations,231,0,106
